pakiet,wersja,bezpośredni_odbiorcy_w_grafie
parking_lot_core,0.8.6,parking_lot 0.11.2
parking_lot_core,0.9.12,dashmap 5.5.3; dashmap 6.2.1; parking_lot 0.12.5
password-hash,0.4.2,pbkdf2 0.11.0
password-hash,0.5.0,argon2 0.5.3
pastey,0.1.1,av-scenechange 0.14.1
pastey,0.2.3,cel 0.13.0; gstreamer 0.25.2; option-operations 0.6.1; tract-core 0.23.3; tract-linalg 0.23.3
pbkdf2,0.11.0,zip 0.6.6
pbkdf2,0.13.0,zip 8.6.0
pem-rfc7468,0.7.0,der 0.7.10; elliptic-curve 0.13.8
pem-rfc7468,1.0.0,der 0.8.0
petgraph,0.6.5,prost-build 0.13.5; wasm-compose 0.251.0
petgraph,0.8.3,cubecl-opt 0.10.0; prost-build 0.14.4
phf,0.10.1,markup5ever 0.11.0
phf,0.11.3,chrono-tz 0.8.6; chrono-tz-build 0.2.1; jieba-rs 0.6.8; mime_guess2 2.3.1
phf,0.12.1,chrono-tz 0.10.4
phf,0.13.1,accesskit_atspi_common 0.18.1
